type,item,meaning,example
,躡足,3.輕步行走貌。  ,  唐 封演 《封氏聞見記‧繩妓》： “妓者先引長繩， 兩端屬地， 埋鹿盧繫之。 鹿盧內數丈立柱以起繩， 繩之直如絃。 然後妓女自繩端躡足而上， 往來倏忽之間， 望之如仙。” 
,躩,1.疾行貌。  ,《論語‧鄉黨》： “君召使擯， 色勃如也， 足躩如也。” 
,車遙遙,1.車行遙遠貌。 ,  南朝 梁 《車遙遙》詩： “車遙遙兮馬洋洋， 追思君兮不可忘。” 
,軒,4.車子前高後低貌。  ; 6.飛翔；飛舉貌。  ; 7.指舞貌。  ; 20.寬悅貌。  ,《詩‧小雅‧六月》： “戎車既安， 如輊如軒。” ; 《文選‧王粲〈贈蔡子篤詩〉》： “潛鱗在淵， 歸鴈載軒。” ; 《古詩源‧帝載歌》： “鼚乎鼓之， 軒乎舞之。”參見“ 軒軒 ”。  ; 《莊子‧天地》： “夫道， 覆載萬物者也， 洋洋乎大哉！君子不可以不刳心焉。” 
,軒昂,1.高峻貌；揚起貌。 ; 3.驕傲貌。  ,  唐 韓愈 《南山詩》： “崎嶇上軒昂， 始得觀覽富。” ; 《三國志‧吳志‧孫堅傳》： “ 卓 受任無功， 應召稽留， 而軒昂自高。” 
,軒然,1.高昂貌。 ; 2.笑貌。  ; 3.高涌貌。  ,  唐 元稹 《告畬三陽神文》： “軒然神功， 坐受嘉栗。” ;   漢 黃憲 《天祿閣外史‧論學》： “ 韓王 軒然仰笑而墮冠曰： ‘徵君果以 無閭生 為弟子耶？’” 宋 蘇軾 《聞公擇過雲龍山人輒往從之公擇有詩戲用其韻》： “軒然就一笑， 猶得好飲力。” ;   曾樸 《答胡適書》： “接着便是文言白話的論戰， 在北方軒然起了大波。”參見“ 軒然大波 ”。
,軒舉,1.軒昂貌。 ,  北周 庾信 《周上柱國齊王憲神道碑》： “儀範清泠， 風神軒舉。” 
,軫,6.盛多湊集貌。  ,《淮南子‧兵略訓》： “畜積給足， 士卒殷軫。” 
,軮軋,1.廣大貌。 ; 2.眾多貌。  ,《漢書‧揚雄傳上》： “據軨軒而周流兮， 忽軮軋而亡垠。” ;   宋 司馬光 《和吳沖卿三哀詩》： “群材方大來， 軮軋扶帝室。”
,輊,1.車頂前傾之貌。  ,《詩‧小雅‧六月》： “戎車既安， 如輊如軒。” 
,輕揚,3.揚揚自得貌。  ,  宋 何薳 《春渚紀聞‧乖崖劍術》： “遙見一舉子乘驢徑前， 意甚輕揚， 心忽生怒。”
,輝赫,2.明亮貌。  ,  宋 蘇舜欽 《夏熱晝寢感詠》： “流光何輝赫， 獨不照覆盆。”
,輝輝,1.顯赫貌。 ; 2.光耀貌。  ,  三國 魏 曹植 《王仲宣誄》： “君侍華轂， 輝輝王塗。” ;   北周 庾信 《燈賦》： “輝輝朱燼， 焰焰紅榮。” 
,輪,15.高大貌。  ,《禮記‧檀弓下》： “ 晉 獻文子 成室， 晉 大夫發焉。  
,輪囷,1.盤曲貌。 ; 2.碩大貌。  ,《文選‧鄒陽＜獄中上書自明＞》： “蟠木根柢， 輪囷離奇。” ; 《禮記‧檀弓下》“美哉輪焉” 漢 鄭玄 注： “輪， 輪囷， 言高大。” 
,輪廓,3.物體的外周或物形的外框、概貌。  ,  唐 王度 《古鏡記》： “辰畜之外， 又置二十四字， 周遶輪廓， 文體似隸， 點畫無缺。” 
,輪菌,1.盤曲貌。 ; 2.高大貌。  ,《文選‧枚乘＜七發＞》： “中鬱結之輪菌， 根扶疏以分離。” ;   三國 魏 何晏 《景福殿賦》： “爰有遐狄， 鐐質輪菌。”
,輵,2.山不相連貌。 ,II
,辛苦,5.憔悴貌。  ,  南朝 宋 鮑照 《紹古辭》之三： “辛苦異人狀， 美貌改如玉。” 
,辟,13.乍進乍退貌。 參見“ 辟旋 ”、“ 盤辟 ”。  ,NA
,辰,16.美善貌。  ,《詩‧小雅‧車舝》： “辰彼碩女， 令德來教。” 
,迍,1.行走艱難貌。 參見“ 迍邅 ”。  ,NA
,迍蹇,1.難行貌。 ,《藝文類聚》卷二六引 晉 夏侯惇 《懷思賦》： “信循道以從法， 何世路之迍蹇。” 
,迢遙,1.遠貌。 ; 2.時間久長貌。  ,  南朝 宋 顏延之 《秋胡詩》： “迢遙行人遠， 婉轉年運徂。”一本作“ 超遙 ”。  ;   宋 賀鑄 《驀山溪》詞： “迢遙此夜， 淚枕不成眠。” 
,迤颺,1.斜起貌。  ,NA
,迥出,1.高聳貌。 ,  南朝 梁元帝 《巫山高》詩： “ 巫山 高不窮， 迥出 荊門 中。” 
,迥然,1.卓越不群貌。 ; 2.猶孑然。 孤獨貌。  ,《北齊書‧孝昭帝紀》： “﹝帝﹞身長八尺， 腰帶十圍， 儀望風表， 迥然獨秀。” ; 《陳書‧姚察傳》： “卿迥然一身， 宗奠是寄， 毀而滅性， 聖教所不許。” 
,迥絕,1.猶連綿。 不絕貌。 ; 2.高峻貌。  ,  南朝 宋 鮑照 《和王丞》： “秋心日迥絕， 春思坐連綿。” ;   唐 岑參 《太白胡僧歌》序： “雲壁迥絕， 人跡罕到。” 
,迫然,1.匆遽貌。 ; 2.附着貌。  ,《韓詩外傳》卷二： “諸侯交爭， 人趨車馳， 迫然禍至， 乃始愁憂……不亦晚乎！” ;   漢 班固 《白虎通‧情性》： “魂魄者， 何謂也……魄者， 猶迫然著人也。 此少陽之氣， 象金石著人不移， 主於性也。”
,迫迮,1.物密聚、緊靠貌。 ,《詩‧唐風‧鴇羽》“集于苞栩” 毛 傳“苞， 稹栩杼也” 漢 鄭玄 箋： “稹者， 根相迫迮梱致也。” 
,迭逿,1.馳突貌。  ; 2.日光閃爍貌。  ,《文選‧張衡＜思玄賦＞》： “爛漫麗靡， 藐以迭逿。”舊注： “分布遠馳之貌。” ;   明 鄭若庸 《玉玦記‧觀潮》： “迭宕， 沃日湯湯。 怕高陵為谷， 倒翻銀浪。” 
,迴復,3.水流回旋貌。  ,  晉 左思 《吳都賦》： “潮波汩起， 迴復萬里。” 
,迴穴,1.風回旋不定貌。 ,《文選‧宋玉＜風賦＞》： “耾耾雷聲， 迴穴錯迕。” 
,迴迴,1.廣大貌。 ; 2.盤曲貌。  ,《文選‧束晰＜補亡詩＞》： “漫漫方輿， 迴迴洪覆。” ;   唐 杜甫 《揚旗》詩： “迴迴偃飛蓋， 熠熠迸流星。” 
,迶,1.行貌。  ,《玉篇‧辵部》： “迶， 行也。” 
,迷,10.用同“ 眯 ”。 眼皮微合貌。  ,《西游補》第二回： “天子大悅， 便迷着眼兒飲一大觥。” 
,迷迷,2.模糊不明貌。  ; 4.依附貌。  ; 5.笑貌。 迷， 用同“ 眯 ”。  ,  唐 李賀 《公無出門》詩： “天迷迷， 地密密。” ;   清 張岱 《陶庵夢憶‧龍山放燈》： “又如 隋煬帝 夜游傾數斛螢火於山谷間， 團結方開， 倚草附木迷迷不去者。” ;   葉聖陶 《潘先生在難中》一： “他作舉杯就口的樣子， 迷迷地笑着。” 
,追蠡,1.鐘紐欲斷貌。 ,《孟子‧盡心下》： “ 高子 曰： ‘ 禹 之聲， 尚 文王 之聲。 ’ 孟子 曰： ‘何以知之？’曰： ‘以追蠡。 ’” 趙歧 注： “追， 鐘鈕也， 鈕磨齧處深矣；蠡， 欲絕之貌也。” 
,退,8.柔和貌。  ,  唐 韓愈 《劉統軍碑》： “公生而異， 魋顏鉅鼻， 幼如舒退， 少長好事。”參見“ 退然 ”、“ 退弱 ”。  
,逆折,1.水流回旋貌。 ,  漢 司馬相如 《上林賦》： “橫流逆折， 轉騰潎洌。” 
,逋峭,1.本為屋柱曲折貌。 引申指人有風致。 ,《魏書‧文苑傳‧溫子昇》： “嘗詣 蕭衍 客館受國書， 自以不修容止， 謂人曰： ‘詩章易作， 逋峭難為。 ’” 宋 徐度《卻掃編》卷中： “﹝ 文潞公 ﹞因問 魏收 有‘逋峭難為’之語， 人多不知逋峭何謂？ 蘇公 曰： ‘聞之 宋 元憲公 云： 事是（見）《本（木）經》， 蓋梁上小柱名， 取有折勢之義耳。 ’” 
,逌,1.舒適自得貌；笑貌。 參見“ 逌然 ”、“ 逌爾 ”。  ,NA
,逌然,1.閑適貌；自得貌。 ; 2.微笑貌。  ; 3.長嘆息貌。  ,《列子‧力命》： “終身逌然， 不知榮辱之在彼也在我也。” ;   宋 趙與時 《賓退錄》卷八： “於是逌然而笑， 豈吾緣法在是， 如駿馬下臨千丈坡， 欲駐不可。” ;   三國 魏 阮籍 《大人先生傳》： “於是大人先生乃逌然而歎。”
,逌爾,1.笑貌。 ; 2.嘆息貌。  ,《漢書‧敘傳上》： “主人逌爾而笑。” ;   明 張居正 《來雁說》： “先生逌爾嘆曰： ‘然哉休哉， 休哉然哉。 ’”
,造,13.通“ 蹙 ”。 憂愁貌。  ,《韓非子‧忠孝》： “ 舜 見 瞽瞍 ， 其容造焉。”舊注： “愁貌也。” 
,逡遁,1.卻行， 恭順貌。 ,《管子‧戒》： “ 桓公 蹴然逡遁。” 
,連,27.通“ 漣 ”。 流淚貌。  ,《戰國策‧齊策四》： “ 管燕 連然流涕曰： ‘悲夫！士何其易得而難用也！’” 鮑彪 注： “連與漣同， 泣下也。” 
,連屯,1.村莊相連或相望貌。 ,  清 彭孫貽 《五里二屯》詩： “五里復五里， 連屯為誰耕。” 
,連疊,2.連延重疊貌。  ,  元 馬祖常 《度居庸關次繼學韻》： “筍輿約重來， 羸馬苦常跨。 朋從詠連疊， 酬應給閒暇。” 
,連翩,1.連續飛翔貌。  ; 3.伶俜， 孤獨無依貌。  ,  南朝 齊 謝朓 《贈王主簿詩》之一： “一遇長相思， 願寄連翩翼。” ;   三國 魏 曹植 《吁嗟篇》： “宕若當何依， 忽亡而復存。 飄颻周八澤， 連翩歷五山。” 
,連蹇,1.行走艱難貌。 語本《易‧蹇》： “往蹇來連。” ,  王弼 注： “往來皆難。” 
,逴,1.遠貌。  ,  明 徐世溥《漢宮春曉賦》： “晼晚桑榆， 去人逴兮。” 
,逶遲,1.彎曲下垂貌。 ; 2.遙遠貌。  ; 3.徐行貌；徘徊貌。  ; 4.頹靡衰弱貌。  ,《西京雜記》卷四引 漢 枚乘 《柳賦》： “忘憂之館， 垂條之木。 枝逶遲而含紫， 葉萋萋而吐綠。” ;   唐 王維 《送高適弟耽歸臨淮作》詩： “都門謝親故， 行路日逶遲。” ; 《文選‧謝莊＜宋孝武宣貴妃誄＞》： “旌委鬱於飛飛， 龍逶遲於步步。” ;   宋 陳師道 《寒夜有懷晁無斁》詩： “老境厭逶遲， 人情費將護。” 
,逶隨,2.從容自得貌。  ,《隸釋‧漢成陽令唐扶頌》： “ 南陽 弟司空公在朝逶隨， 正色竭忠。” 
,逸容,1.猶美貌。 ,  晉 葛洪 《抱樸子‧酒誡》： “故惑目者必逸容鮮藻也， 惑耳者必妍音淫聲也。” 
,逸豫,2.舒緩貌。  ,  宋 周密 《癸辛雜識前集‧筆墨》： “真措毫筆， 委曲宛轉， 不叛散， 嘗滑密沾污， 墨須多膠紺黟者， 如此逸豫。”
,遂,26.通“ 邃 ”。 深遠貌。  ,《淮南子‧原道訓》： “幽兮冥兮， 應無形兮；遂兮洞兮， 不虛動兮。” 
,遂遂,1.安舒貌。 ; 2.隨行貌。  ; 3.茂盛貌。  ,《詩‧衛風‧芄蘭》“容兮遂兮， 垂帶悸兮” 毛 傳： “容儀可觀， 佩玉遂遂然。” ; 《禮記‧祭義》： “及祭之後， 陶陶遂遂， 如將復入然。” ; 《爾雅‧釋訓》： “烝烝遂遂， 作也。” 
,遒然,2.急迫貌。  ,  章炳麟 《四惑論》： “又有三人， 一畫花木， 一操會計， 一編譜表， 終日程功， 其勞相等。 繪畫者， 猶栩栩自得， 操會計者， 編譜表者， 則遒然思欲脫離矣。”
,道貌,1.修道者的容貌。 ; 2.指清雅飄逸的面貌。  ; 3.道學家的面貌。 形容一本正經的樣子。  ,《太平廣記》卷三一引 南唐 沈汾 《續仙傳‧李玨》： “ 李 情景恬憺， 道貌秀異。” ;   宋 蘇軾 《與王定國書》： “某近頗知養生， 亦自覺薄有所得， 見者皆言道貌與往日殊別。” ;   魯迅 《花邊文學‧一思而行》： “就是革命專家， 有時也要負手散步；理學先生總不免有兒女， 在證明着他並非日日夜夜， 道貌永遠的儼然。”
,道風,2.謂超凡脫俗的風貌。  ,  南朝 梁 慧皎 《高僧傳‧義解三‧慧持》： “ 遠 ， 持 兄弟也。 綽綽焉， 信有道風矣。” 
,達禮,4.懂得禮節、禮貌。  ,  明 馮夢龍 《萬事足‧見子生嗔》： “我與你一向相敬如賓， 以為你知書達禮之人也。” 
,遢,2.通“ 塌 ”。 凹陷貌。  ,  明 孫柚 《琴心記‧夜亡成都》： “袍錦褪， 紗帽壓， 香羅襴束腰一捻， 粉底靴兒根頭遢。”
,遫,2.局促窘迫貌。  ,NA
,遰,2.遠貌。  ,《南齊書‧州郡志上》： “ 交州 ， 鎮 交阯 ， 在海漲島中。  
,遷延,2.徘徊；停留不前貌。  ,《戰國策‧楚策四》： “白汗交流， 中阪遷延， 負轅不能上。” 
,選蠕,2.蠕動貌。  ,  唐 薛用弱 《集异記‧韋宥》： “及食罷就視， 則已蜿蜒舒展， 選蠕搖動。”
,遺容,2.指人死後的容貌。  ; 3.事物的本來面貌。  ,  清 王端履 《重論文齋筆錄》卷三： “感生死之異路兮， 撫遺容而老淚滂沱。” ;   魯迅 《集外集拾遺‧＜比亞茲萊畫選＞小引》： “現在就選印這十二幅， 略供愛好 比亞茲萊 者看看他未經撕剝的遺容。”
,遺形,4.指遺留下來的形貌。 形體、形式。  ,  三國 魏 曹植 《敘愁賦》： “觀圖像之遺形， 竊庶幾乎 英 皇 。” 
,遺貌,1.猶舊貌。 ,  宋 蘇軾 《留題峽州甘泉寺》詩： “輕舟橫江來， 弔古悲純孝。 逶迤尋遠跡， 婉孌見遺貌。” 
,遼廓,1.遼闊廣大貌。 ,《淮南子‧俶真訓》： “達人之學也， 欲以通性於遼廓， 而覺於寂漠也。” 
,遼敻,2.遼闊寬廣貌。  ,  唐 玄奘 《大唐西域記‧窣祿勤那國》： “家國綿邈， 山川遼敻。” 
,遼絕,5.高遠貌。  ,  唐 柳宗元 《吊萇弘文》： “ 比干 之以仁義兮， 緬遼絕以不群。”
,遼遼,1.遠貌。 ; 2.深邃貌。  ,《楚辭‧劉向＜九嘆‧憂苦＞》： “山脩遠其遼遼兮， 塗漫漫其無時。” ; 《後漢書‧逸民傳‧梁鴻》： “人之劬勞兮， 噫！遼遼未央兮， 噫！” 明 何景明 《發京邑》詩之二： “ 梁生 何慷慨， 遼遼悲未央。” 
,遽然,2.急怒貌。  ; 3.急躁貌。  ,  金 元好問 《惡雨》詩： “惡雨惡復惡， 龍公何遽然。 雷轟冰塔碎， 電掣玉繩連。” ;   清 吳敏樹 《業師兩先生傳》： “先生怪其課文有異， 乃詰之曰： ‘汝年少， 文字當令生嫩秀發， 奈何作如許老成狀？然字句間又若不可更易， 是汝之能也。 汝慎無遽然。 ’”
,還,3.敏捷貌。  ,III
,還辟,1.避讓貌。 辟， 通“ 避 ”。 ,《禮記‧曲禮上》： “若主人拜， 則客還辟避拜。” 
,邅迴,2.難行不進貌。  ,  宋 黃庭堅 《寄餘干徐隱甫》詩： “江行長邅回， 風水憂索米。” 
,邈,10.用同“ 貌 ”。 形狀；容貌。  ,  南朝 宋 謝靈運 《游嶺門山》詩： “千圻邈不同， 萬嶺狀皆異。” 
,邈然,1.遙遠貌。 ; 2.高遠貌。  ; 4.懵懂貌。  ,《韓詩外傳》卷五： “邈然遠望， 洋洋乎， 翼翼乎， 必作此樂也。” ; 《三國志‧吳志‧步騭傳》： “至其純粹履道， 求不苟得， 升降當世， 保全名行， 邈然絕俗， 實有所師。” ;   唐 韓愈 《太原王公神道碑銘》： “復拜中書舍人， 既至京師， 儕流無在者， 視同列皆邈然少年， 益自悲。” 
,邈綿,2.連綿不斷貌。  ,  明 吳承恩 《述壽賦》： “粵我 淮川 ， 丁由邈綿， 開 漢 室之勛閥， 典 周 邦之將權。” 
,邈邈,1.遙遠貌。 ; 2.超凡出俗貌。  ,《楚辭‧離騷》： “抑志而弭節兮， 神高馳之邈邈。” ;   唐 吳筠 《高士詠‧河上公》： “邈邈 河上叟 ， 無名契虛沖。” 
,邋遢,1.行路貌。 ,  元 王子一 《誤入桃源》第一摺： “眼見得路迢遙， 芒鞋邋遢， 抵多少古道西風瘦馬。” 
,邐,1.曲折連綿貌。  ; 2.曲折行進貌。 參見“ 邐迤 ”。  ,  南朝 梁 何遜 《送韋司馬別》詩： “邐邐山蔽日， 洶洶浪隱舟。” ; NA
,邑,13.通“ 悒 ”。 憂鬱貌。  ,《楚辭‧九章‧悲回風》： “傷太息之愍憐兮， 氣於邑而不可止。” 
,邑邑,1.憂鬱不樂貌。 ; 2.微弱貌。  ; 3.謙抑貌。  ,《史記‧淮南衡山列傳》： “人生一世閒， 安能邑邑如此！” 宋 梅堯臣 《送通判黃國博入浙》詩： “洗蕩生前邑邑不平氣， 付與滄海之水隨滔滔。” ; 《楚辭‧劉向＜九嘆‧遠游＞》： “張絳帷以襜襜兮， 風邑邑而蔽之。” ; 《古文苑‧班固＜十八侯銘‧將軍青陽侯王吸＞》： “邑邑將軍， 育養烝徒。” 
,邕邕,2.邕， 通“ 雍 ”。 和樂貌。  ,  三國 魏 嵇康 《游仙詩》： “臨觴奏《九韶》， 《雅歌》何邕邕。” 
,邠,3.通“ 彬 ”。 文彩盛貌。  ,  漢 揚雄 《太玄‧文》： “斐如邠如， 虎豹文如。” 
,那,2.安閑貌。  ,《詩‧小雅‧魚藻》： “王在在 鎬 ， 有那其居。” 
,邪施,2.蹣跚貌。  ,  明 歸有光 《夏懷竹字說序》： “ 章甫 為人滑稽， 與伶人伍， 衣裳偏倚， 步履邪施， 忽去忽來， 見者咸輕之。”
,邲,2.通“ 斐 ”。 有文采貌。  ,  清 錢大昕 《十駕齋養新錄‧古無輕唇音》： “匪又與邲通。  
,郁,1.多文采貌。  ; 6.通“ 鬱 ”。 繁茂貌。 參見“ 郁郁 ”。  ,  晉 張協 《七命》： “群萌反素， 時文載郁。” ; NA
,郁然,1.充盛貌；美好貌。 ; 2.香氣濃重貌。  ; 3.濃密貌。 郁， 通“ 鬱 ”。  ,《晉書‧律曆志下》： “凡百制度， 皆韜合往古， 郁然備足。” ;   宋 歐陽修 《歸田錄》卷二： “每晨起將視事， 必焚香兩鑪， 以公服罩之， 撮其袖以出。 坐定， 撒開兩袖， 郁然滿室濃香。” ;   宋 陳師道 《答無咎畫苑》詩： “看君髮漆顏丹朱， 意氣健如生馬駒。 逢人不信六十餘， 郁然一莖無白鬚。” 
,郁紛,1.雲氣濃盛貌。  ; 2.指花氣濃盛貌。  ,  宋 史浩 《臨江仙‧戲綵堂立石名曰瑞雪彌大作詞因用其韻》詞： “飛來蘚髮尚如拳。 郁紛因出岫， 巧鏤是誰鐫？” ;   明 袁宗道 《題＜宮樹春雲卷＞》詩： “山嵐蒨翠外， 花氣郁紛中。”
,郎當,4.疲軟無力貌。  ,《朱子語類》卷一三○： “ 張文潛 軟郎當。 他所作詩， 前四五句好， 後數句胡亂填滿， 只是平仄韻耳。” 
,郭索,1.螃蟹爬行貌。 亦指蟹爬行時的聲音。 ; 3.顫抖貌。  ,  漢 揚雄 《太玄‧銳》： “蟹之郭索， 心不一也。” ;   元 呂起猷 《又用曇字韻》： “竹委長身寒郭索， 松埋短髮老 瞿曇 。”
,都盧,4.微笑貌。  ,  清 錢謙益 《宋玉叔＜安雅堂集＞序》： “群兒論雹為珠， 論珠為雹， 喧呶聒耳， 都盧一笑而已。” 
,鄂,6.通“ 諤 ”。 直言貌。  ,《文選‧馬融〈長笛賦〉》： “ 蒯聵 能退敵， 不占 成節鄂。” 
,鄂鄂,1.直言爭辯貌。 鄂， 通“ 諤 ”。 ; 2.嘵嘵不休貌。  ; 3.花開放貌。 鄂， 通“ 萼 ”。  ; 4.挺立貌。  ,《大戴禮記‧曾子立事》： “君子出言以鄂鄂， 行身以戰戰。” ;   漢 王符 《潛夫論‧斷訟》： “啁啾罵詈， 晝夜鄂鄂， 慢游是好。” ; 《詩‧小雅‧常棣》“鄂不韡韡” 毛 傳： “鄂， 猶鄂鄂然， 言外發也。” ;   漢 徐幹《齊都賦》： “皓皓乎若白雪之積， 鄂鄂乎若景阿之崇。” 
,鄒查,2.凶狠貌。  ,《秦併六國平話》卷下： “只見現出鬼來， 怎見得人怕？陰陰密密霧內， 靉靉靆靆雲中， 見凜凜歛歛身軀， 現鄒鄒查查相貌。”
,鄧,8.用同“ 鈍 ”。 遲笨貌。 參見“ 鄧鄧呆呆 ”。,NA
,酋酋,1.指秋物成熟貌。 ; 2.高貌。  ,  漢 揚雄 《太玄‧中》： “次七， 酋酋火魁頤， 水包貞。 測曰： 酋酋之包， 任臣則也。” ;   唐 杜牧 《洛中送冀處士東游》詩： “壇宇寬帖帖， 符彩高酋酋。” 
,酡,1.飲酒臉紅貌。  ,  唐 劉象 《早春池亭獨游》詩之三： “知音新句苦， 窺沼醉顏酡。” 
,酡然,1.飲酒臉紅貌。 ,  清 蒲松齡 《聊齋志异‧蕭七》： “六姊頻犯， 連引十餘爵， 酡然逕醉。” 
,酣酣,1.飲酒酣暢貌。 ,  唐 白居易 《不如來飲酒》詩之三： “不如來飲酒， 仰面醉酣酣。” 
,酸嘶,1.酸痛劇烈之貌。 ,  三國 魏 曹植 《釋愁文》： “臨餐困於哽咽， 煩冤毒於酸嘶。” 
,酸然,1.小雨貌。 ,  宋 劉弇 《走筆答郭子隆句稽》詩： “酸然梅雨天， 煩襟斗湔浣。” 
,醄醄,1.醉貌。 ; 2.歡樂貌。  ,  宋 周邦彥 《齊天樂‧端午》詞： “荷香暗度。 漸引入醄醄， 醉鄉深處。” ;   元 沈和 《賞花時‧瀟湘八景》套曲： “旋篘新酒釣鮮魚， 終日醄醄樂有餘。” 
,醇,5.愚昧渾噩貌。  ,《老子》： “其政悶悶， 其人醇醇。” 
,醉如泥,1.爛醉貌。 ,《後漢書‧周澤傳》“一歲三百六十日， 三百五十九日齋” 唐 李賢 注： “《漢官儀》此下云： ‘一日不齋醉如泥。 ’” 唐 杜甫 《將赴成都草堂途中有作先寄嚴鄭公》詩之三： “肯藉荒亭春草色， 先判一飲醉如泥。” 
,醒醒,3.美好貌。  ,  宋 石孝友 《漁家傲‧送李惠言徐元集赴試南宮》詞： “劍履醒醒天日表， 集英殿 下春來早。”
,醥,2.酒清澈貌。  ,  宋 歐陽修 《答呂公著見贈》詩： “醁醅寒且醥， 清唱婉而遲。”
,醺酣,1.酣醉貌。 ,  唐 杜牧 《郡齋獨酌》詩： “醺酣更唱太平曲， 仁聖天子壽無疆。” 
,醺醺,1.酣醉貌。 ; 2.和悅貌。  ,  元 無名氏 《馮玉蘭》第二摺： “我見他假醺醺上下將娘親覷。 不由我戰欽欽魄散魂無。” ; 《說文‧酉部》“醺”引《詩》： “公尸來燕醺醺。” 
,釋然,1.疑慮消除貌。 ; 2.消融貌；瓦解貌。  ,  南朝 宋 劉義慶 《世說新語‧言語》： “由是釋然， 復無疑慮。” ;   唐 劉禹錫 《何卜賦》： “於是蹈道之心一， 而俟時之志堅。 內視群疑， 猶冰釋然。” 
,鉛素,2.謂素白的容貌。  ,  明 徐渭《與楊子完步浣紗溪梁有懷西施之鄉》詩： “當時如花人， 曾此照鉛素。”
,鋃鐺,3.笨重貌。  ,  元 戴侗 《六書故‧地理一》： “鋃鐺之為物， 連牽而重， 故俗語以困重不舉為鋃鐺。” 
,錯,25.驚懼小心貌。  ,  唐 杜甫 《呀鶻行》： “病鶻孤飛俗眼醜， 每夜江邊宿衰柳。 清秋落日已側身， 過雁歸鴉錯迴首。” 
,錯繆,2.雜亂貌。  ,《文選‧左思＜吳都賦＞》： “形僨景僵者， 累積而增益， 雜襲錯繆。” 
,錯落,5.交雜紛亂貌。  ,  唐 李白 《別魯頌》： “錯落石上松， 無為秋霜折。” 
,鎬,4.通“ 皓 ”。 光明貌。 參見“ 鎬鎬 ”。  ,II
,鏏,2.小貌。 參見“ 鏏鼎 ”。,NA
,鏗然,1.聲音響亮貌。 ; 2.堅實貌。  ,  晉 葛洪 《抱樸子‧勤求》： “此亦如竊鍾棖物， 鏗然有聲， 惡他人聞之， 因自掩其耳者之類也。” ; 《列子‧天瑞》“天積氣耳， 亡處亡氣” 晉 張湛 注： “夫天之蒼蒼， 非鏗然之質。 則所謂天者， 豈但遠而無所極邪， 自地而上則皆天矣。” 
,鏘洋,5.廣大、盛多貌。  ,  唐 黃滔 《御試良弓獻問賦》： “今吾皇播聲教以鏘洋， 濬恩波而浩汗。” 
,鏙,1.間雜貌。 參見“ 鏙錯 ”。  ,NA
,鏻,1.健， 健貌。  ,NA
,鑠鑠,1.光芒閃耀貌。 ; 2.油光潤澤貌。  ,《三國志‧蜀志‧郤正傳》： “赫赫龍章， 鑠鑠車服。” ;   北魏 賈思勰 《齊民要術‧餅法》： “粉餅法……先剛溲， 以手痛揉， 令極軟熟。 更以臛汁溲， 令極澤鑠鑠然。”
,鑿,1.鮮明貌。  ,  唐 李白 《虞城縣令李公去思頌碑》： “激揚之水兮， 白石有鑿。”參見“ 鑿鑿 ”。  
,閃然,2.傾側不穩貌。  ,  唐 劉言史 《觀繩伎》詩： “兩邊丸劍漸相迎， 側身交步何輕盈。 閃然欲落卻收得， 萬人肉上寒毛生。”
,閃閃,2.物體動搖不定貌。  ,  唐 唐彥謙 《長溪秋望》詩： “寒鴉閃閃前山去， 杜曲 黃昏獨自愁。” 
,開口笑,1.歡樂貌。 語出《莊子‧盜跖》： “人上壽百歲， 中壽八十， 下壽六十， 除病瘦(瘐)死喪憂患， 其中開口而笑者， 一月之中， 不過四五日而已矣！” 唐 杜甫 《醉為馬墜諸公攜酒相看》詩： “語盡還成開口笑， 提攜別掃清谿曲。”,  宋 王禹偁 《贈密直張諫議與子結婚》詩： “且喜相逢開口笑。  
,開顏,2.修飾容貌。  ,《樂府詩集‧雜曲歌辭八‧東飛伯勞歌》： “誰家女兒對門居， 開顏發豔照里閭。”
,閌,1.高大貌。  ,《文選‧揚雄〈甘泉賦〉》： “閌閬閬其寥廓兮， 似紫宮之崢嶸。” 
,閎閎,1.大貌。 ,  漢 揚雄 《太玄‧交》： “大圈閎閎， 小圈交之；我有靈肴， 與爾肴之。” 
,閑,8.大貌。  ,《詩‧商頌‧殷武》： “松桷有梴， 旅楹有閑。” 
,閒然,2.彼此隔閡貌。  ,  唐 岑參 《尚書念舊垂賜袍衣率題絕句獻上以申感謝》： “富貴情還在， 相逢豈間然。” 
,閔然,2.憂傷貌。  ,  宋 蘇軾 《答求親啟》： “藐爾諸孤， 雖本軒裳之後；閔然衰緒， 莫閑纂組之功。” 
,閜,1.開闊貌。  ,  清 喬光烈 《游龍門記》： “劈立若雙闕洞閜狀， 是為 龍門 。” 
,閬,3.高大貌。 參見“ 閬閬 ”、“ 閌閬 ”。  ,NA
,闃其,2.寂靜冷落貌。  ,  宋 王禹偁 《送樂良秀才謁梁中諫序》： “以至自官僚分司， 以貳車左降 淮水 之涘， 衡門闃其， 甑有委塵， 突無黔色。”參見“ 闃其無人 ”。
,闃如,1.空虛貌。 ; 2.寂靜貌。  ,  清 鈕琇 《觚賸‧姜楚蘭》： “ 劉 歸視 蘭 室， 么絃在壁， 黼帳闃如， 撫膺太息而已。” ;   清 魏源 《聖武記》卷十三： “乃事後竟以報銷罣吏議， 而《明史》亦僅附見他傳， 聲烈闃如， 曷可勝喟！” 周素園 《貴州民黨痛史》第一篇第五章： “然私家財力， 倒底不能持久， 中道停頓， 嗣響闃如。”
