arthur,thomas,traditional,simplified,radsup,morphology,MC,OC,variant,Kroll,zdic,note,id
mo2~he2,mó~hé,摩何,摩何,NA,RR,ma-ha,NA~*[g]ˤaj,NA,indifferently and unconcerned,NA,NA,1049
rao3~ru4,rǎo~rù,擾弱,扰弱,NA,RR,nyewX-nyak,NA~*newk,NA,"(med.) tender and gentle, pliant and delicate",NA,NA,1336
fang4~lang4,fàng~làng,放浪,放浪,NA,RR,pjangH-lang,*paŋʔ~*[r]ˤaŋ,NA,carefree; free and easy; wild and unbridled,行為不加檢束。二刻拍案驚奇．卷三十九：「明日一夥道士，輕衫短帽，裝束做少年子弟，登舟放浪。」近放蕩、放恣、浪漫、汗漫反檢束亦作「放蕩」。,same as 放蕩 fang4dang4 (MC phangH-dangX),350
chang3~huang3,chǎng~huǎng,敞怳,敞怳,NA,RR,tsyhangX-xjangX,*tʰaŋʔ~NA,NA,fazed; disconcerted; indistinct obscurity; humming hush,NA,for some reason the MC reading of 怳 huang3 in 惝怳 (xjangX) and 敞怳 (hwangX) is different,169
ban1~lan2,bān~lán,斒斕,斒斓,文,RR,paen-lean,NA~NA,NA,vividly various (esp. of literary style),文彩鮮明的樣子。宋．曾鞏．靖安幽谷亭詩：「倚天巉巖姿，青蒼露斒斕。」,NA,42
zhen1~zhuo2,zhēn~zhuó,斟酌,斟酌,NA,RR,tsyim-tsyak,*t.[q][ə]m~*tewk,NA,"pour frm pot or jug into cup or bowl; deliberate, consider carefully, perpend, evaluate and weigh",斟，倒酒。酌，飲酒。斟酌借指飲酒。文選．蘇武．詩四首之一：「願子留斟酌，敘此平生親。」晉．陶淵明．移居詩二首之二：「過門更相呼，有酒斟酌之。」考慮可否而決定取捨。國語．周語上：「近臣盡規，親戚補察，瞽、史教誨，耆、艾修之，而後王斟酌焉，是以事行而不悖。」紅樓夢．第十回：「大家斟酌一個方兒，可用不可用，那時大爺再定奪。」近推敲、考慮、酌量、商量、商酌、研究,is this an ideophone?,2050
si1~xu1,sī~xū,斯須,斯须,NA,RR,sje-sju,*[s]e~*C-[s.n]o,NA,in an instant,片刻、短暫的時間。禮記．祭義：「禮樂不可斯須去身。」唐．杜甫．丹青引：「斯須九重真龍出，一洗萬古凡馬空。」近須臾反良久,NA,1411
pang2~bo2,páng~bó,旁魄,旁魄,NA,RR,bang-bak,*[b]ˤaŋ~*pʰˤrak,NA,boundless and unbroken,廣大無邊、充塞混同。荀子．性惡：「齊給便敏而無類，雜能旁魄而無用。」楊倞．注：「旁魄，廣博也。」亦作「旁薄」。,bo2 also pronounced as po4,1111
yi3~ni3,yǐ~nǐ,旖旎,旖旎,方,RR,'jeX-nrjeX,NA~NA,NA,"gracefully fluttering, rippling with the wind; thickly spreading, of plants",輕盈柔順的樣子。史記．卷一一七．司馬相如傳：「紛容蕭蔘，旖旎從風。」唐．李白．愁陽春賦：「蕩漾惚恍，何垂楊旖旎之愁人。」柔媚的樣子。元．王實甫．西廂記．第一本．第一折：「解舞腰肢嬌又軟，千般裊娜，萬般旖旎，似垂柳晚風前。」初刻拍案驚奇．卷三十四：「體態輕盈，丰姿旖旎。」盛多的樣子。楚辭．宋玉．九辯：「竊悲夫蕙華之曾敷兮，紛旖旎乎都房。」楚辭．劉向．九嘆．惜賢：「結桂樹之旖旎兮，紉荃蕙與辛夷。」,NA,1866
min2~min2,mín~mín,旼旼,旼旼,日,RR,min min,NA~NA,NA,"moderate and merciful, gentle and gracious",和樂。文選．司馬相如．封禪文：「旼旼穆穆，君子之態。」文選．左思．魏都賦：「旼旼率土，遷善罔匱。」,NA,1034
huang3~lang3,huǎng~lǎng,晃朗,晃朗,NA,RR,hwangX-langX,NA~*k.rˤaŋʔ,NA,"fair and fulgent, beaming and clear",光明的樣子。文選．潘岳．秋興賦：「天晃朗以彌高兮，日悠陽而浸微。」,NA,523
kuang4~dang4,kuàng~dàng,曠蕩,旷荡,NA,RR,khwangH-dangH,*[k-m̥]ˤaŋ-s~*N.rˤaŋʔ,NA,ranging far and free,NA,NA,752
man4~yuan3,màn~yuǎn,曼衍,曼衍,NA,RR,mjonH-yenX,*mˤa[n]-s~*N-q(r)anʔ,NA,ever and endless transformations; continuously connected,綿延不絕。莊子．寓言：「因以曼衍，所以窮年。」分布、擴散。文選．揚雄．甘泉賦：「駮交錯而曼衍兮，嵈𡽁隗乎其相嬰。」近分布,NA,971
wang4~yang2,wàng~yáng,望洋,望洋,NA,RR,mjangH-yang,*maŋ~*ɢ(r)aŋ,"汪洋, 汪漾, 汪翔, 望洋",wide-eyed with wonder,仰視。莊子．秋水：「河伯始旋其面目，望洋向若而歎。」或作「望羊」、「望陽」。,NA,1561
cha1~ya2,chā~yá,杈枒,杈枒,木,RR,tsrhae-ngae,NA~NA,"枒杈, 杈枒","bifurcating branches, split and spread apart",樹枝分岔的樣子。唐．杜甫．鵰賦：「擊叢薄之不開，突杈枒而皆折。」或作「杈椏」。,is this an ideophone?,135
cha1~ya2,chā~yá,杈枒,杈枒,木,RR,tsrhae-ngae,NA~NA,NA,split and spread apart,樹枝分岔的樣子。唐．杜甫．鵰賦：「擊叢薄之不開，突杈枒而皆折。」或作「杈椏」。,NA,136
hang2~zhuang1,háng~zhuāng,杭壯,杭壮,NA,RR,hang-tsrjang,*[m]-[g]ˤaŋ~*[ts]<r>aŋ-s,NA,broad and level,NA,NA,447
ya1~cha1,yā~chā,枒杈,枒杈,木,RR,ngae-tsrhae,NA~NA,"枒杈, 杈枒","bifurcating branches, split and spread apart",樹枝縱橫雜出。元．王惲．趙邈齪虎圖行詩：「巔崖老樹纏冰雪，石觜枒杈橫積鐵。」,is this an ideophone?,1757
cha2~ya2,chá~yá,查牙,查牙,NA,RR,dzrae-ngae,NA~*m-ɢˤ<r>a,嵖岈？,jutting out,NA,NA,138
liang2~chang1,liáng~chāng,梁昌,梁昌,NA,RR,ljang-tsyhang,*raŋ~NA,NA,"step askew, thrown off the track, unsteady and insecure; in dire straits",NA,cf. MC of 踉蹡、踉蹡、梁昌、俍倡,835
leng2~ceng2,léng~céng,楞層,楞层,NA,RR,long-dzong,NA~*N-s-tˤəŋ,NA,cruel and ruthless (of appearance),猙獰、威嚴的樣子。大唐三藏取經詩話上：「法師與猴行者不免進上寺門歇息，見門下左右金剛，精神猛烈、氣象生獰、古貌楞層、威風凜冽。」亦作「稜層」。,cf. 碐磳 leng2zeng1,806
qiang1~xiang1,qiāng~xiāng,槍欀,枪欀,木,RR,tshjang-sjang,NA~NA,NA,"disordered and unsettled, in disarray; scrambled, hugger-mugger",NA,NA,1263
luo4~tuo1,luò~tuō,樂託,乐託,NA,RR,lak-thak,*[r]ˤawk~*tʰˤak,NA,"aimless and unrestrained, wild and unbridled",行為放浪散漫而無節制。南朝宋．劉義慶．世說新語．賞譽：「王修載樂託之性，出自門風。」亦作「落托」、「落拓」。失意、落寞的樣子。如：「他一生樂託，抑鬱不得志。」亦作「落拓」。,NA,958
tang2~tu1,táng~tū,樘突,樘突,NA,RR,dang-dwot,NA~*m-tʰˤut,"唐突,樘突","run up against, confront, offend, affront",NA,NA,1461
mo2~hu2,mó~hú,模糊,模糊,NA,RR,mu-hu,*mˤa~*Cə.[g]ˤa (~ *C.[g]ˤa; no pre-Qín exx.),NA,"unclear and ill-defined, fuzzy, woozy",不清楚、不明顯。文明小史．第十七回：「誰知除了眼鏡，兩眼模糊，反辨不出那人的面目。」近迷糊、含糊、含混、隱晦反明確、明晰、分明、精確、清晰、清醒、清楚、曉暢、鮮明亦作「糢糊」。不清楚、不明顯。文明小史．第四十八回：「燈光之下，人影糢糊。」亦作「模糊」。,NA,1050
jia3~chu3,jiǎ~chǔ,檟楚,檟楚,NA,RR,kaeX-tsrhjoX,NA~*[s.r̥]aʔ,NA,to whip with a slender stick or rod,NA,probably not an ideophone because 檟 is a type of tree and 楚 can mean 'thorny' or 'painful' (pg. 58),585
ai3~nai3,ǎi~nǎi,欸乃,欸乃,NA,RR,'ojX-nojX,NA~*nˤə(ŋ)ʔ,NA,rhytmnic sweep of boat's oars; of oarsman's song,搖櫓的聲音。唐．柳宗元．漁翁詩：「煙銷日出不見人，欸乃一聲山水綠。」划船時所唱的歌。宋．陸游．南定樓遇急雨詩：「人語朱離逢峒獠，櫂歌欸乃下吳舟。」元．鄭光祖．倩女離魂．第二折：「聽長笛一聲何處發，歌欸乃，櫓咿啞。」,NA,7
zheng4~ying2,zhèng~yíng,正營,正营,NA,RR,tsyeng-yweng,*C.teŋ~*[ɢ]ʷeŋ,NA,"discomposed, disconcerted, upset and unnerved, timidly",NA,NA,2063
qing2~ling2,qíng~líng,殑㱥,殑㱥,歹,RR,ging-ling,NA~NA,NA,"(med.) worn out and done in, dead tired, fagged out, played out; as if one's soul has gone spiritless",NA,NA,1291
ling2~qing2,líng~qíng,㱥殑,㱥殑,歹,RR,ling-ging,NA~NA,殑㱥,"(med.) worn out and done in, dead tired, fagged out, played out; as if one's soul has gone spiritless",NA,NA,902
yin1~qin2,yīn~qín,殷勤,殷勤,NA,RR,'j+n-gin,*ʔˤrə[r]~*[g]ər,"慇懃, 慇勤, 殷勤","ardently attentive, solicitous",辛勤。元．馬致遠．黃粱夢．第四折：「道不的殷勤過日災須少，僥倖成家禍必多。」懇切、周到。儒林外史．第三十回：「道士不知什麼意思，擺上菓碟來，殷勤奉茶。」紅樓夢．第十二回：「賈瑞見往裡讓，心中喜出望外，急忙進來，見了鳳姐，滿面陪笑，連連問好。鳳姐也假意殷勤，讓茶讓坐。」近周到反冷淡,NA,1904
mao4~sao4,mào~sào,毷氉,毷氉,毛,RR,mawH-sawH,NA~NA,NA,"longfaced and low-spirited, woebegone",煩悶。唐．韋莊．買酒不得詩：「停尊待爾怪來遲，手挈空缾毷氉歸。」,NA,983
tong2~meng2,tóng~méng,氃氋,氃氋,毛,RR,duwng-muwng,NA~NA,NA,(med.) with a flurry of feathes,毛散亂的樣子。南朝宋．劉義慶．世說新語．排調：「昔羊叔子有鶴善舞，嘗向客稱之。客試使驅來，氃氋而不肯舞。」亦作「氋氃」。,NA,1519
yin1~yun1,yīn~yūn,氤氳,氤氲,气,RR,'jin-'jun,NA~NA,"氤氳, 絪縕, 茵蒀","thick-gathering mists, heavy haze, enveloping fog",NA,NA,1916
fan4~lan2,fàn~lán,氾瀾,氾澜,水,RR,bjomH-lan,NA~*[r]ˤanʔ,泛/范/汎瀾,flooded with tears; tears swelling and surging,NA,NA,347
ding4~ning2,dìng~níng,汀濘,汀泞,水,RR,dengH-neng,*tʰˤeŋ~NA,NA,"mudflats, mud-muck, mud and slush",淺水。文選．張協．七命：「何異促麟之游汀濘，短羽之棲翳薈。」泥濘的樣子。明．劉基．弔祖豫州賦：「汙池汀濘兮蛙黽樂之。」,NA,306
ting4~ying4,tìng~yìng,汀濴,汀濴,水,RR,thengH-'engH,*tʰˤeŋ~NA,NA,"(med.) purling and rippling, running crystal-clear",NA,NA,1515
chuo4~yue1,chuò~yuē,汋約,汋约,NA,RR,tsyhak-'jak,NA~*[q]ewk-s,NA,"tender and listless, relaxed and restrained",NA,NA,222
hang4~mang3,hàng~mǎng,沆漭,沆漭,水,RR,hangX-mangX,NA~NA,NA,"rolling on to the farthest reaches (waves), boundlessly beyond",水面寬廣浩大的樣子。後漢書．卷六十上．馬融傳：「瀇瀁沆漭，錯紾槃委。」,NA,449
wu4~jue2,wù~jué,沕潏,沕潏,水,RR,mit-kwet,NA~NA,NA,bubbling forth from a fountainhead,NA,潏 jue2 also yu2; 沕 mi4 also wu4 (MC mjut),1602
fei1~pen1,fēi~pēn,沸濆,沸濆,水,RR,phj+jH-phwon,*Nə.p[u][t]-s~NA,NA,"frothing and foaming, seething; tumbling (waves)",NA,synonymous with 沸渭 fei4wei4; 濆 pen1 also fen2,355
hong2~hong2,hóng~hóng,泓宏,泓宏,水,RR,‘eang-heang,NA~*[g]ʷˤ<r>əŋ,NA,deep toned and resonant (music); throbbing (music),聲音宏大的樣子。文選．潘岳．笙賦：「郁捋劫悟，泓宏融裔。」,NA,473
hong2~hong2,hóng~hóng,泓汯,泓汯,水,RR,‘eang-heang,NA~NA,NA,"gyrling and spiraling, whirling water",水勢迴旋的樣子。文選．郭璞．江賦：「泓汯泂澋，涒鄰㘤潾。」,NA,474
yang3~mang3,yǎng~mǎng,泱漭,泱漭,水,RR,'angX-mangX,NA~NA,NA,"broad and boundless, far-stretching and endless; darkly lowerign, heavily leaden, gloomy and grim",廣大無際的樣子。文選．張衡．西京賦：「山谷原隰，泱漭無疆。」朦朧不明的樣子。文選．謝朓．京路夜發詩：「曉星正寥落，晨光復泱漭。」,NA,1796
yang3~nang3,yǎng~nǎng,泱灢,泱灢,水,RR,'angX-nangX,NA~NA,NA,"trickling and trilling, running and rushing",NA,NA,1797
liu2~lian2,liú~lián,流連,流连,水,RR,ljuw-ljen,*ru~*C.ra[n],NA,"so swept away (with music, happiness, an idea) that one is oblivious to the world; enchanted; wandering in all directions",貪戀玩樂而忘歸。孟子．梁惠王下：「流連荒亡，為諸侯憂。」留滯、徘徊不忍離去。三國志．卷十五．魏書．劉馥傳：「封符指期，無流連之吏。」文選．傅亮．為宋公修張良廟教：「游九京者，亦流連於隨會。」亦作「留連」。轉徙離散。漢書．卷八十六．師丹傳：「百姓流連，無所歸心。」流淚。後漢書．卷四十八．翟酺傳：「既坐，言無所及，唯涕泣流連。」,NA,911
qin1~yin2,qīn~yín,浸潯,浸浔,水,RR,tshyim-yim,NA~NA,NA,"steeped and soaked, drenched and doused",NA,qin1 usually pronounced as jin4; yin2 usually pronounced as xun2,1284
xiao1~xi1,xiāo~xī,消息,消息,水,RR,sjew-sik,*[s]ew~*sək,NA,"rest and relax, recuperate; flow and ebb, tiding(s), vicissitudes; remedy, give treatment",比喻榮枯盛衰。易經．豐卦：「天地盈虛，與時消息。」音信、訊息。唐．杜甫．哀江頭詩：「清渭東流劍閣深，去住彼此無消息。」文明小史．第三回：「已經得了外面消息，怕有考童鬧事。」近新聞、信息、訊息、音信、音訊祕密、訣竅。水滸傳．第四十七回：「左來右去，只走了死路，又不曉的白楊樹轉灣抹角的消息。」機關的樞紐。紅樓夢．第四十一回：「不意劉老老亂摸之間，其力巧合，便撞開了消息，掩過鏡子，露出門來。」三俠五義．第六十三回：「伸手一摸，似乎活的。摸了多時，可巧手指一按，只聽咯噔一聲，將消息滑開，卻是個轉身門兒。」亦稱為「泛子」、「消息兒」。,is this an ideophone?,1683
xing4~ming2,xìng~míng,涬溟,涬溟,水,RR,hengX-mengX,NA~NA,NA,"broad and boundless, shoreless sweep; misted murk, obscure opacity, infinite obscurity",NA,NA,1711
ping2~pang1,píng~pāng,淜滂,淜滂,水,RR,phing-phang,NA~NA,NA,blasting and blustering of wind,狀聲詞。多用以形容水聲、風擊物聲。文選．宋玉．風賦：「飄忽淜滂，激颺熛怒。」李善．注：「淜滂，風擊物聲。」,NA,1192
hu1~yang3,hū~yǎng,淴泱,淴泱,水,RR,’wot-‘angX,NA~NA,NA,running and rushing; scurrying and scudding,NA,NA,487
hong4~dong4,hòng~dòng,港洞,港洞,水,RR,huwngH-duwngH,NA~NA,NA,closely connected; ajoined,NA,港 hong4 also gang3 (MC kaewngX),479
miao3~man4,miǎo~màn,渺漫,渺漫,水,RR,mjiewX-manH,*[m]ewʔ~*mˤa[n]-s,NA,"vague and vest, stretching farther than they eye can see; immeasurable",NA,NA,1025
miao3~mi2,miǎo~mí,渺瀰,渺瀰,水,RR,mjiewX-mje,*[m]ewʔ~*m.ner,NA,"vague and vest, stretching farther than they eye can see; immeasurable",NA,NA,1027
miao3~mang2,miǎo~máng,渺茫,渺茫,水,RR,mjiewX-mang,*[m]ewʔ~NA,NA,"vague and vest, stretching farther than they eye can see; immeasurable",遼遠而不易見。唐．白居易．長恨歌：「含情凝睇謝君王，一別音容兩渺茫。」近迷茫、蒼茫,NA,1026
hun4~dun4,hùn~dùn,渾沌,浑沌,水,RR,hwonH-dwonX,*[g]ˤ[u]r~NA,混沌,"inchoate chaos, absolutely amorphous",傳說中天地未形成時，元氣不分、模糊不清的狀態。漢．王充．論衡．談天：「說易者曰：『元氣未分，渾沌為一。』」亦作「混沌」。模糊不分明。抱朴子．外篇．廣譬：「渾沌之原，無皎澄之流；毫釐之根，無連抱之枝。」亦作「渾敦」。相傳為堯舜時四凶中的驩兜。見史記．卷一．五帝本紀。後用以比喻冥頑糊塗不開通。亦作「渾敦」。莊子寓言中的中央之帝，天然無耳目鼻口。見莊子．應帝王。後用以比喻自然淳樸。漢．揚雄．太玄經．卷六．馴：「渾沌無端，莫見其根。」神話傳說中的惡獸。漢．東方朔．神異經．西荒經：「崑崙西有獸焉，其狀如犬，長毛四足，似羆而無爪，有目而不見，行不開，有兩耳而不聞，有人知往，有腹無五臟，有腸直而不旋，食物徑過，人有德行而往牴觸之，有凶德則往依憑之。天使其然，名為渾沌。」,渾 hun4 also hun2 (MC hwon),545
ming2~mu4,míng~mù,溟沐,溟沐,水,RR,meng-muwk,NA~NA,NA,dribbling droplets,細雨的樣子。漢．揚雄．太玄經．卷一．少卦：「上九，密雨溟沐，潤于枯瀆，三日射谷。」逐漸潤澤。,溟 ming2 also ming3 (MC mengX),1046
ming3~xing4,mǐng~xìng,溟涬,溟涬,水,RR,mengX-hengX,NA~NA,涬溟,"broad and boundless, shoreless sweep; misted murk, obscure opacity, infinite obscurity",NA,NA,1048
ming2~mang3,míng~mǎng,溟漭,溟漭,水,RR,meng-mangX,NA~NA,NA,far-fathomed main,廣大無際的樣子。晉．郭璞．江賦：「流映楊焆，溟漭渺面。」,溟 ming2 also ming3 (MC mengX),1041
xi1~ke4,xī~kè,溪刻,溪刻,NA,RR,khej-khok,*kʰˤe~*[kʰ]ˤək,NA,petty and perverse,NA,NA,1616
cang1~lang2,cāng~láng,滄浪,沧浪,水,RR,tshang-lang,NA~*[r]ˤaŋ,NA,blue-gray billows (waves),青色的水。晉．陸機．塘上行：「發藻玉臺下，垂影滄浪淵。」宋．張孝祥．念奴嬌．洞庭青草詞：「短髮蕭騷襟袖冷，穩泛滄浪空闊。」漢水。書經．禹貢：「嶓冢導漾，東流為漢，又東為滄浪之水。」,NA,114
huang4~yang4,huàng~yàng,滉漾,滉漾,水,RR,hwangX-yangH,NA~NA,NA,"bouncing and bobbing, pitching and plunging",水浮動盪漾的樣子。三國．魏．曹植．節遊賦：「望洪池之滉漾，遂降集乎輕舟。」,NA,527
lian2~er2,lián~ér,漣洏,涟洏,水,RR,ljen-nyi,*[r]a[n]~NA,NA,"flowing tears, unstoppable weeping",涕淚交流的樣子。三國．魏．王粲．贈蔡子篤詩：「中心孔悼，涕淚漣洏。嗟爾君子，如何勿思！」,NA,823
lian2~yi1,lián~yī,漣漪,涟漪,水,RR,ljen-'je,*[r]a[n]~NA,NA,wimpled waves,水面上細微的波紋。宋．歐陽修．採桑子．輕舟短棹西湖好詞：「無風水面琉璃滑，不覺船移，微動漣漪。驚起沙禽掠岸飛。」,NA,831
mang3~yang4,mǎng~yàng,漭漾,漭漾,水,RR,mangX-yangX,NA~NA,莽漾,flooded flow; confused and fuddled,NA,NA,980
liao2~li4,liáo~lì,漻浰,漻浰,水,RR,lew-lijH,NA~NA,NA,coursing quickly (water),NA,cf. 飂戾,842
hong4~meng2,hòng~méng,澒濛,澒濛,水,RR,huwngX-muwng,NA~NA,NA,commingled chaos; vast opacity (as before the opening up of heaven and earth); all encompassing mist,宇宙形成前的混沌之氣。淮南子．精神：「古未有天地之時，惟像無形。窈窈冥冥，芒芠漠閔，澒濛鴻洞，莫知其門。」楚辭．劉向．九歎．思古：「貫澒濛以東朅兮，維六龍於扶桑。」,NA,481
xiao4~zhuo2,xiào~zhuó,澩灂,泶灂,水,RR,haewX-dzraewk,NA~NA,NA,"crashing and colliding, raging and roaring, of waves",NA,NA,1697
xiao1~qiao1,xiāo~qiāo,澩㺒,泶㺒,NA,RR,haewX-khaew,NA~NA,NA,"hutsle and bustle, tumultuous tangle, of a noisy throng",NA,NA,1667
chan2~tian2,chán~tián,澶湉,澶湉,水,RR,dzyen-dem,NA~NA,NA,calm and smooth (of water),形容水流緩慢沉靜。文選．左思．吳都賦：「澒溶沆瀁，莫測其深，莫究其廣，澶湉漠而無涯。」,NA,151
dan4~bo2,dàn~bó,澹泊,澹泊,水,RR,damX-bak,*[l]ˤamʔ~*[b]ˤak,NA,"calm, placid, tranquil",恬靜而不慕名利。漢書．卷一○○．敘傳上：「清虛澹泊，歸之自然，獨師友造化，而不為世俗所役者也。」晉．陶淵明．閒情賦序：「檢逸辭而宗澹泊，始則蕩以思慮，而終歸閒正。」近恬淡亦作「淡泊」。,unmarked as 'bn.' possibly an oversight,258
liu2~liang4,liú~liàng,瀏亮,浏亮,NA,RR,ljuw-ljangH,NA~*[r]aŋ-s,NA,lambent and lucid,清朗明亮。文選．陸機．文賦：「詩緣情而綺靡，賦體物而瀏亮。」,NA,912
mi2~man4,mí~màn,瀰漫,瀰漫,水,RR,mje-manH,*m.ner~*mˤa[n]-s,NA,vast and limitless,NA,NA,1005
lian4~yan4,liàn~yàn,瀲灧,潋灧,水,RR,ljemH-yemH,NA~NA,NA,"rolling and roiling, tossing and turning (waves); overflowing, bursting",水滿溢的樣子。南朝梁．何遜．行經范僕射故宅詩：「瀲灩故池水，蒼茫落日暉。」元．李治．摸魚兒．為多情詞：「香瀲灩銀塘，對抹胭指露，藕絲幾縷。」水波相連。唐．方干．題應天寺上方兼呈謙上人詩：「勢橫綠野蒼茫外，影落平湖瀲灩間。」波光映照。宋．蘇軾．飲湖上初晴後雨詩二首之二：「水光瀲灩晴方好，山色空濛雨亦奇。」月光明亮，如水般清澈。宋．蘇軾．中秋月寄子由詩三首之一：「殷勤去年月，瀲灩古城東。」,NA,834
chui4~lei4,chuì~lèi,炊累,炊累,NA,RR,tshyweH-ljweH,NA~*[r]oj,NA,dust adrift on the wind; randomly shifting,形容游塵浮動的狀態。莊子．在宥：「神動而天隨，從容無為而萬物炊累焉。」,炊chui4 also read as chui1,214
wu1~hu1,wū~hū,烏乎,乌乎,NA,RR,'u-hu,*[ʔ]ˤa~*ɢˤa,"嗚呼, 嗚乎, 嗚虖, 烏呼, 烏乎, 烏虖",sigh of sadness: alas,NA,NA,1592
wu1~hu1,wū~hū,烏呼,乌呼,口,RR,'u-xu,*[ʔ]ˤa~*qʰˤa,"嗚呼, 嗚乎, 嗚虖, 烏呼, 烏乎, 烏虖",sigh of sadness: alas,感嘆詞。金文作「烏虖」或「烏乎」、「於虖」等。亦作「嗚呼」。,NA,1596
wu1~hu1,wū~hū,烏虖,乌虖,NA,RR,'u-hu,*[ʔ]ˤa~NA,"嗚呼, 嗚乎, 嗚虖, 烏呼, 烏乎, 烏虖",sigh of sadness: alas,NA,NA,1593
yin1~yun1,yīn~yūn,烟熅,烟熅,火,RR,'in-'jun,*[q]ˤi[n]~NA,NA,"vaporous haze, unparted fog, as before heaven and earth were separated",NA,yin1 usually pronounced as yan1; morphology?,1915
huang3~lan4,huǎng~làn,熀爛,熀烂,火,RR,xwangX-lanH,NA~*[r]ˤan-s,NA,"lustrous light, radiance",NA,NA,522
yi4~yao4,yì~yào,熠燿,熠燿,火,RR,yip-yewH,NA~*lewk-s,NA,"fitfully glinting; firefly, glow-worm",光亮鮮明的樣子。詩經．豳風．東山：「倉庚于飛，熠燿其羽。」唐．陳鴻．長恨傳：「時每歲十月，駕幸華清宮，內外命婦，熠燿景從。」螢火。詩經．豳風．東山：「町畽鹿場，熠燿宵行。」文選．潘岳．秋興賦：「熠燿粲於階闥兮，蟋蟀鳴乎軒屏。」,NA,1874
yu4~yu4,yù~yù,燠煜,燠煜,火,RR,'juwk-yuwk,NA~*ɢʷrəp,NA,sultery and sweltering,NA,NA,1996
dao4~ao4,dào~ào,燾奡,焘奡,NA,RR,dawH-ngawH,NA~NA,燾傲,tower proudly upward,NA,奡 ao4 = haughty,277
kuang4~huang3,kuàng~huǎng,爌熀,爌熀,火,RR,khwangH-xjwangX,NA~NA,NA,"broad and bright, well-lit",NA,"爌 kuang4 also huang3 (MC xjwangH), seems to be identical to the readings and meaning of 熀 - so it's unclear why there is a separate grapheme. Perhaps it's to distinguish the initials of an otherwise reduplicated form?",753
lan4~man4,làn~màn,爛漫,烂漫,NA,RR,lanH-manH,*[r]ˤan-s~*mˤa[n]-s,NA,"free and unfettered, in total abandon; wholly, extravagantly; fresh and bright, vivid and various",散亂、消散。莊子．在宥：「大德不同，而性命爛漫矣。」文選．司馬相如．上林賦：「牢落陸離，爛漫遠遷。」亦作「瀾漫」。光彩分布的樣子。文選．張衡．思玄賦：「爛漫麗靡，藐以迭逷。」近絢爛、絢麗亦作「爛熳」、「爛縵」。坦白光明、性情率真。如：「天真爛漫」。近活潑光彩煥發的樣子。南朝齊．謝朓．詠兔絲詩：「爛熳已萬條，連綿復一色。」元．關漢卿．蝴蝶夢．第二折：「你看那百花爛熳，春景融和。」亦作「爛漫」、「爛縵」。熟睡的樣子。唐．杜甫．彭衙行：「眾雛爛熳睡，喚起霑盤餐。」,NA,779
lao2~luo4,láo~luò,牢落,牢落,NA,RR,law-lak,NA~*kə.rˤak,NA,"desolate and deserted; scattered and strewn, withered and fallen",稀疏。唐．韓愈．天星送楊凝郎中賀正詩：「天星牢落雞喔咿，僕夫起餐車載脂。」荒涼、寂靜。文選．左思．魏都賦：「臨菑牢落，鄢郢丘墟。」孤獨落寞。文選．陸機．文賦：「心牢落而無偶，意徘徊而不能揥。」,NA,795
chang1~kuang2,chāng~kuáng,猖狂,猖狂,犬,RR,tsyhang-gjwang,NA~*[k-ɢʷ]aŋ,NA,careless and heedless; harsh and violent,狂妄胡為。莊子．山木：「不知義之所適，不知禮之所將，猖狂妄行，乃蹈乎大方。」文選．揚雄．趙充國頌：「先零猖狂，侵漢西疆。」近放肆、瘋狂、狂妄、猖獗形容氣勢猛烈。唐．元稹．有酒十章之八：「陰火然兮眾族沸渭，颶風作兮晝夜猖狂。」水滸傳．第六十六回：「班毛老子，猖狂燎盡白髭鬚。」,NA,162
chang1~jue2,chāng~jué,猖獗,猖獗,犬,RR,tsyhang-kjwot,NA~NA,猖蹶,wanton and reckless; self-indulgent; subversive,狂妄放肆。文選．丘遲．與陳伯之書：「尋君去就之際，非有他故，直以不能內審諸己，外受流言，沉迷猖獗，以至於此。」三國演義．第四十回：「劉備如此猖獗，真腹心之患也，不可不急除。」近跋扈、狓猖、瘋狂、囂張、猖狂反斂跡、收斂傾敗、滅亡。三國志．卷三十五．蜀書．諸葛亮傳：「孤不度德量力，欲信大義於天下，而智術淺短，遂用猖（獗）​〔蹶〕，至于今日。」,NA,161
e3~nuo2,ě~nuó,猗儺,猗傩,NA,RR,'aX-naX,NA~*nˤar,"猗狔, 猗儺","swinging and swaying, lithe and lissome",柔順的樣子。詩經．檜風．隰有萇楚：「隰有萇楚，猗儺其枝。」,e3 usually pronounced as yi1 or yi3,328
yi3~ni3,yǐ~nǐ,猗狔,猗狔,犬,RR,'jeX-nrjeX,NA~NA,"猗狔, 猗儺","swinging and swaying, lithe and lissome",NA,NA,1867
you2~yu4,yóu~yù,猶豫,犹豫,NA,RR,yuw-yoH,*[ɢ(r)]u~*laʔ-s,NA,"timid and timorous, wavering and havering, wary and cautious, hesitate and hold off, faltering qualms",遲疑不決。楚辭．屈原．離騷：「心猶豫而狐疑兮，欲自適而不可。」紅樓夢．第五回：「正在猶豫之間，忽見警幻從後追來，告道：『快休前進，作速回頭要緊。』」因猶豫為雙聲字，以聲取義而無本字，故或作「由豫」、「游預」、「游豫」、「猶夷」、「猶與」。近徬徨、遲疑、躊躇、夷由、夷猶、游移反斷然、果斷、果決、堅決、決斷,NA,1969
